city,fuel_type,body_type,transmission,owner_count,brand,model,variant,car_age,price_numeric,km_numeric,engine_cc,mileage_numeric,max_power_numeric,torque_numeric,spec_seats
Bangalore,Petrol,Hatchback,Manual,2,Tata,Tata Tiago,1.2 Revotron XZ WO Alloy,6,530000.0,66837,1199.0,23.84,84.0,114.0,5.0
Bangalore,Petrol,Hatchback,Manual,2,Maruti,Maruti Alto,LXi,16,250000.0,60000,796.0,19.7,46.3,62.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,Magna Plus BSIV,5,715000.0,44285,1197.0,18.6,81.86,117.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,1.2 Kappa Asta,6,625000.0,36735,1197.0,18.9,81.86,113.75,5.0
Bangalore,Diesel,SUV,Manual,2,Mahindra,Mahindra Scorpio,SLE BSIII,14,650000.0,120000,2179.0,12.05,120.0,290.0,8.0
Bangalore,Petrol,Hatchback,Automatic,1,Renault,Renault KWID,1.0 RXT AMT Opt,2,550000.0,10000,999.0,22.0,67.0,91.0,5.0
Bangalore,Diesel,SUV,Manual,1,Tata,Tata Nexon,1.5 Revotorq XM,6,825000.0,53645,1497.0,21.5,108.5,260.0,5.0
Bangalore,Petrol,Hatchback,Manual,2,Hyundai,Hyundai Getz,GLS,18,220000.0,100000,1341.0,15.3,83.0,115.0,5.0
Bangalore,Petrol,Hatchback,Automatic,1,Maruti,Maruti Celerio,VXI AMT,10,428000.0,53982,998.0,26.68,65.71,89.0,5.0
Bangalore,Diesel,Sedan,Manual,1,Skoda,Skoda Rapid,1.5 TDI Ambition With Alloy Wheel,10,695000.0,110000,1498.0,21.14,103.52,250.0,5.0
Bangalore,Petrol,SUV,Manual,2,Ford,Ford Ecosport,1.5 Petrol Titanium,5,930000.0000000001,37741,1496.0,15.9,120.69,149.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Maruti,Maruti Alto 800,VXI Plus BSVI,3,455000.0,17367,796.0,22.05,47.33,69.0,5.0
Bangalore,Diesel,SUV,Manual,1,Hyundai,Hyundai Creta,1.6 CRDi SX Plus,7,1195000.0,94000,1582.0,19.67,126.2,259.9,5.0
Bangalore,Petrol,Hatchback,Manual,3,Maruti,Maruti Swift,VXI,10,442000.0,54601,1197.0,22.38,88.5,113.0,5.0
Bangalore,Diesel,Hatchback,Manual,1,Maruti,Maruti Swift,VDI,6,690000.0,110000,1248.0,28.4,74.0,190.0,5.0
Bangalore,Petrol,Hatchback,Manual,2,Maruti,Maruti Celerio,ZXI Optional,7,500000.0,64000,998.0,23.1,67.04,90.0,5.0
Bangalore,Diesel,Sedan,Manual,1,Maruti,Maruti Ciaz,VDi Plus,9,650000.0,100000,1248.0,26.21,88.5,200.0,5.0
Bangalore,Petrol,Hatchback,Automatic,2,Honda,Honda Jazz,1.2 V AT i VTEC,8,537000.0,44154,1199.0,19.0,88.7,110.0,5.0
Bangalore,Diesel,MUV,Manual,1,Renault,Renault Lodgy,110PS RxZ 7 Seater,8,750000.0,70000,1461.0,19.98,108.5,245.0,7.0
Bangalore,Petrol,Hatchback,Manual,2,Tata,Tata Tiago,1.2 Revotron XT,7,468000.0,68039,1199.0,23.84,84.0,114.0,5.0
Bangalore,Petrol,Hatchback,Manual,2,Maruti,Maruti Ritz,VXi,10,420000.0,60000,1197.0,18.5,85.8,114.0,5.0
Bangalore,Petrol,Hatchback,Manual,2,Maruti,Maruti Ritz,VXi,10,420000.0,60000,1197.0,18.5,85.8,114.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,Asta Turbo iMT DT,3,919999.9999999999,10000,998.0,20.0,118.36,171.62,5.0
Bangalore,Petrol,Sedan,Manual,1,Honda,Honda City,V MT,11,533000.0,49873,1497.0,16.8,116.3,146.0,5.0
Bangalore,Petrol,Hatchback,Automatic,3,Volkswagen,Volkswagen Polo,GT TSI,11,850000.0,90000,1197.0,17.2,103.6,175.0,5.0
Bangalore,Diesel,Sedan,Manual,2,Skoda,Skoda Rapid,1.5 TDI Ambition BSIV,7,751000.0,48960,1498.0,21.13,108.6,250.0,5.0
Bangalore,Diesel,Hatchback,Manual,2,Hyundai,Hyundai Grand i10,CRDi Era,10,388000.0,70000,1120.0,24.0,70.0,160.0,5.0
Bangalore,Petrol,Hatchback,Manual,2,Hyundai,Hyundai i20,Sportz 1.2,11,490000.0000000001,68000,1197.0,18.5,82.85,113.7,5.0
Bangalore,Diesel,SUV,Manual,1,Mahindra,Mahindra KUV 100,mFALCON D75 K6,8,494000.0000000001,23017,1198.0,25.32,77.0,190.0,6.0
Bangalore,Diesel,Hatchback,Manual,2,Hyundai,Hyundai i20,Asta 1.4 CRDi,11,525000.0,83000,1396.0,21.27,88.76,219.6,5.0
Bangalore,Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,VXI Plus Optional,6,550000.0,62139,998.0,20.51,67.04,90.0,5.0
Bangalore,Lpg,Hatchback,Manual,1,Hyundai,Hyundai i10,Magna LPG,11,365000.0,74000,1086.0,19.2,68.05,99.04,5.0
Bangalore,Petrol,Hatchback,Automatic,2,Renault,Renault KWID,1.0 AMT RXT,8,420000.0,26500,999.0,24.04,67.0,91.0,5.0
Bangalore,Petrol,SUV,Automatic,1,Mahindra,Mahindra XUV300,W6 AMT Sunroof BSVI,2,1050000.0,10000,1197.0,17.0,108.6,200.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Honda,Honda Brio,S MT,11,394000.0,38197,1198.0,19.4,86.8,109.0,5.0
Bangalore,Petrol,Hatchback,Automatic,2,Maruti,Maruti Baleno,Zeta CVT,7,725000.0,23000,1197.0,19.56,81.8,113.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Maruti,Maruti Alto K10,LXI,11,240000.0,50000,998.0,20.92,67.1,90.0,5.0
Bangalore,Petrol,SUV,Automatic,1,Renault,Renault Kiger,RXZ AMT DT,2,835000.0,10000,999.0,19.03,71.01,96.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,1.2 Kappa Asta,5,695000.0,19000,1197.0,18.9,81.86,113.75,5.0
Bangalore,Petrol,SUV,Automatic,1,Kia,Kia Seltos,GTX Plus DCT,4,1725000.0,14000,1353.0,16.5,138.08,242.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Hyundai,Hyundai EON,Magna Plus,10,330000.0,29268,814.0,21.1,55.2,74.5,5.0
Bangalore,Petrol,Sedan,Automatic,1,Volkswagen,Volkswagen Vento,1.2 TSI Highline Plus AT,5,990000.0,20000,1197.0,18.19,103.2,175.0,5.0
Bangalore,Petrol,Sedan,Manual,1,Toyota,Toyota Yaris,G BSIV,6,750000.0,30000,1496.0,17.1,105.5,140.0,5.0
Bangalore,Petrol,Hatchback,Automatic,1,Honda,Honda Jazz,1.2 V AT i VTEC,6,755000.0,64374,1199.0,19.0,88.7,110.0,5.0
Bangalore,Diesel,SUV,Manual,1,MG,MG Hector,Sharp Diesel MT BSIV,3,1750000.0,30000,1956.0,17.41,167.68,350.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i10,Era 1.1 iTech SE,14,271000.0,43679,1086.0,19.81,68.05,99.04,5.0
Bangalore,Petrol,SUV,Automatic,1,Hyundai,Hyundai Creta,1.6 SX Automatic,6,1280000.0,40000,1591.0,14.8,121.3,151.0,5.0
Bangalore,Diesel,Hatchback,Manual,1,Hyundai,Hyundai i20,Era 1.4 CRDi,12,436000.0000000001,40562,1396.0,22.54,88.76,219.6,5.0
Bangalore,Petrol,SUV,Automatic,2,Hyundai,Hyundai Creta,SX Opt Turbo DCT,3,1675000.0,26500,1397.0,15.8,138.12,242.0,5.0
Bangalore,Petrol,SUV,Automatic,1,Hyundai,Hyundai Venue,SX Plus Turbo DCT BSIV,5,1250000.0,20000,998.0,18.15,118.35,171.6,5.0
Bangalore,Diesel,SUV,Automatic,1,Mahindra,Mahindra XUV500,AT W8 FWD,8,1350000.0,58600,2179.0,16.0,140.0,330.0,7.0
Bangalore,Petrol,SUV,Automatic,1,Hyundai,Hyundai Venue,SX Plus Turbo DCT BSIV,5,1250000.0,20000,998.0,18.15,118.35,171.6,5.0
Bangalore,Petrol,Hatchback,Automatic,1,Maruti,Maruti Celerio,VXI AT,9,475000.0,65017,998.0,23.1,67.04,90.0,5.0
Bangalore,Diesel,Sedan,Automatic,2,BMW,BMW 3 Series,320d,16,600000.0,80000,1995.0,13.2,170.0,34.7,5.0
Bangalore,Petrol,SUV,Automatic,1,Kia,Kia Seltos,GTX Plus DCT,4,1625000.0,20000,1353.0,16.5,138.08,242.0,5.0
Bangalore,Diesel,Sedan,Automatic,1,Skoda,Skoda Superb,Elegance 2.0 TDI CR AT,10,1650000.0,36349,1968.0,17.2,138.1,320.0,5.0
Bangalore,Petrol,Hatchback,Manual,3,Hyundai,Hyundai i10,Sportz 1.2,15,249000.0,80000,1197.0,20.36,78.9,111.8,5.0
Bangalore,Petrol,SUV,Manual,2,Renault,Renault Duster,Petrol RxE,10,630000.0,83394,1598.0,13.24,102.57,145.0,5.0
Bangalore,Petrol,Hatchback,Manual,3,Hyundai,Hyundai i10,Sportz 1.2,15,249000.0,80000,1197.0,20.36,78.9,111.8,5.0
Bangalore,Petrol,Hatchback,Manual,1,Maruti,Maruti Alto K10,VXI,7,385000.0,52204,998.0,24.39,65.71,89.0,5.0
Bangalore,Petrol,Hatchback,Manual,3,Hyundai,Hyundai i20,1.2 Sportz,12,300000.0,110000,1197.0,17.0,80.0,11.4,5.0
Bangalore,Petrol,Hatchback,Manual,2,Maruti,Maruti Alto 800,VXI,10,276000.0,29813,796.0,22.05,47.33,69.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Ford,Ford Figo,1.2P Titanium Opt MT,6,500000.0,30000,1196.0,18.16,86.8,112.0,5.0
Bangalore,Petrol,Hatchback,Automatic,1,Maruti,Maruti Ignis,1.2 AMT Zeta BSIV,4,730000.0,13345,1197.0,20.89,81.8,113.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,Sportz,10,399000.0,75000,1197.0,18.9,82.0,114.0,5.0
Bangalore,Petrol,Hatchback,Manual,2,Hyundai,Hyundai i10,Sportz,13,312000.0,75523,1197.0,20.36,78.9,111.8,5.0
Bangalore,Diesel,SUV,Manual,1,Mahindra,Mahindra XUV500,W10 2WD,9,1275000.0,47000,2179.0,16.0,140.0,330.0,7.0
Bangalore,Petrol,MUV,Manual,1,Renault,Renault Triber,RXZ,4,719000.0,28253,999.0,20.0,71.01,96.0,7.0
Bangalore,Diesel,SUV,Manual,1,Hyundai,Hyundai Creta,1.6 CRDi SX Plus,8,1260000.0,50000,1582.0,19.67,126.2,259.9,5.0
Bangalore,Petrol,Hatchback,Manual,2,Hyundai,Hyundai i10,Magna,14,300000.0,90000,1197.0,20.36,78.9,111.7,5.0
Bangalore,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,Asta 1.2,8,627000.0,52571,1197.0,18.6,81.83,114.7,5.0
Bangalore,Diesel,Sedan,Automatic,2,BMW,BMW 3 Series,320d Highline,14,1300000.0,70000,1995.0,16.07,181.0,380.0,5.0
Bangalore,Petrol,Sedan,Manual,1,Honda,Honda City,i VTEC V,9,672000.0,61993,1497.0,17.4,117.3,145.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,Sportz 1.2,11,440000.0000000001,36359,1197.0,18.5,82.85,113.7,5.0
Bangalore,Diesel,SUV,Manual,2,Tata,Tata Harrier,XZ BSIV,5,1460000.0,70000,1956.0,17.0,138.1,350.0,5.0
Bangalore,Petrol,Sedan,Automatic,1,Hyundai,Hyundai Verna,VTVT 1.6 AT SX Option,7,1033000.0,30301,1591.0,17.0,121.3,151.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i10,Sportz 1.2,14,275000.0,66000,1197.0,20.36,78.9,111.8,5.0
Bangalore,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,Sportz 1.2,7,676000.0,56010,1197.0,18.6,81.83,114.7,5.0
